scene_id,acq_dt,acq_date,platform,orbit_pass,rel_orbit,abs_orbit,mode,polarizations
S1A_IW_GRDH_1SDV_20251015T102522_20251015T102551_061435_07AB27_rtc,2025-10-15T10:25:37.425217+00:00,2025-10-15,S1A,ascending,113,61435,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20251020T103335_20251020T103404_061508_07AE18_rtc,2025-10-20T10:33:50.200152+00:00,2025-10-20,S1A,ascending,11,61508,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20251027T102522_20251027T102551_061610_07B22D_rtc,2025-10-27T10:25:37.168308+00:00,2025-10-27,S1A,ascending,113,61610,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20251101T103335_20251101T103404_061683_07B51F_rtc,2025-11-01T10:33:49.872768+00:00,2025-11-01,S1A,ascending,11,61683,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20251108T102522_20251108T102551_061785_07B907_rtc,2025-11-08T10:25:36.589877+00:00,2025-11-08,S1A,ascending,113,61785,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20251113T103334_20251113T103403_061858_07BBE0_rtc,2025-11-13T10:33:49.068222+00:00,2025-11-13,S1A,ascending,11,61858,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20251120T102521_20251120T102550_061960_07BFD2_rtc,2025-11-20T10:25:36.313307+00:00,2025-11-20,S1A,ascending,113,61960,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20251125T103333_20251125T103402_062033_07C2B0_rtc,2025-11-25T10:33:48.313031+00:00,2025-11-25,S1A,ascending,11,62033,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20251202T102520_20251202T102549_062135_07C6A6_rtc,2025-12-02T10:25:35.035011+00:00,2025-12-02,S1A,ascending,113,62135,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20251207T103332_20251207T103401_062208_07C98E_rtc,2025-12-07T10:33:47.175292+00:00,2025-12-07,S1A,ascending,11,62208,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20251214T102519_20251214T102548_062310_07CD7E_rtc,2025-12-14T10:25:33.945591+00:00,2025-12-14,S1A,ascending,113,62310,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20251219T103331_20251219T103400_062383_07D060_rtc,2025-12-19T10:33:46.006985+00:00,2025-12-19,S1A,ascending,11,62383,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20251226T102517_20251226T102546_062485_07D44C_rtc,2025-12-26T10:25:32.467040+00:00,2025-12-26,S1A,ascending,113,62485,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20251231T103330_20251231T103359_062558_07D71E_rtc,2025-12-31T10:33:44.692538+00:00,2025-12-31,S1A,ascending,11,62558,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260107T102516_20260107T102545_062660_07DB0D_rtc,2026-01-07T10:25:31.266189+00:00,2026-01-07,S1A,ascending,113,62660,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260112T103329_20260112T103358_062733_07DDD8_rtc,2026-01-12T10:33:43.687625+00:00,2026-01-12,S1A,ascending,11,62733,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260124T103327_20260124T103356_062908_07E432_rtc,2026-01-24T10:33:42.165373+00:00,2026-01-24,S1A,ascending,11,62908,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260131T102515_20260131T102544_063010_07E80D_rtc,2026-01-31T10:25:29.839218+00:00,2026-01-31,S1A,ascending,113,63010,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260205T103327_20260205T103356_063083_07EACE_rtc,2026-02-05T10:33:41.946167+00:00,2026-02-05,S1A,ascending,11,63083,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260212T102514_20260212T102543_063185_07EE92_rtc,2026-02-12T10:25:29.002234+00:00,2026-02-12,S1A,ascending,113,63185,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260217T103326_20260217T103355_063258_07F155_rtc,2026-02-17T10:33:41.333359+00:00,2026-02-17,S1A,ascending,11,63258,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260224T102514_20260224T102543_063360_07F536_rtc,2026-02-24T10:25:28.612818+00:00,2026-02-24,S1A,ascending,113,63360,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260308T102514_20260308T102543_063535_07FBDE_rtc,2026-03-08T10:25:28.572267+00:00,2026-03-08,S1A,ascending,113,63535,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260320T102514_20260320T102543_063710_080266_rtc,2026-03-20T10:25:28.542431+00:00,2026-03-20,S1A,ascending,113,63710,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260325T103326_20260325T103355_063783_080530_rtc,2026-03-25T10:33:41.388388+00:00,2026-03-25,S1A,ascending,11,63783,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260401T102513_20260401T102542_063885_0808E9_rtc,2026-04-01T10:25:28.440517+00:00,2026-04-01,S1A,ascending,113,63885,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260406T103326_20260406T103355_063958_080BB5_rtc,2026-04-06T10:33:41.461156+00:00,2026-04-06,S1A,ascending,11,63958,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260413T102514_20260413T102543_064060_080F7C_rtc,2026-04-13T10:25:28.741130+00:00,2026-04-13,S1A,ascending,113,64060,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260418T103326_20260418T103355_064133_081242_rtc,2026-04-18T10:33:41.477296+00:00,2026-04-18,S1A,ascending,11,64133,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260425T102514_20260425T102543_064235_081607_rtc,2026-04-25T10:25:28.871588+00:00,2026-04-25,S1A,ascending,113,64235,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260430T103326_20260430T103355_064308_0818C5_rtc,2026-04-30T10:33:41.244010+00:00,2026-04-30,S1A,ascending,11,64308,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260507T102513_20260507T102542_064410_081C82_rtc,2026-05-07T10:25:28.310835+00:00,2026-05-07,S1A,ascending,113,64410,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260524T103325_20260524T103354_064658_08252A_rtc,2026-05-24T10:33:40.401232+00:00,2026-05-24,S1A,ascending,11,64658,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260531T102512_20260531T102541_064760_0828C6_rtc,2026-05-31T10:25:27.274110+00:00,2026-05-31,S1A,ascending,113,64760,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260605T103325_20260605T103354_064833_082B56_rtc,2026-06-05T10:33:39.770482+00:00,2026-06-05,S1A,ascending,11,64833,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260617T103324_20260617T103353_065008_083169_rtc,2026-06-17T10:33:39.131926+00:00,2026-06-17,S1A,ascending,11,65008,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20260624T102511_20260624T102540_065110_083506_rtc,2026-06-24T10:25:25.862756+00:00,2026-06-24,S1A,ascending,113,65110,IW,"VH,VV"
S1D_IW_GRDH_1SDV_20260701T102431_20260701T102500_003479_006263_rtc,2026-07-01T10:24:45.675630+00:00,2026-07-01,S1D,ascending,113,3479,IW,"VH,VV"
S1D_IW_GRDH_1SDV_20260706T103244_20260706T103313_003552_0064EE_rtc,2026-07-06T10:32:58.700182+00:00,2026-07-06,S1D,ascending,11,3552,IW,"VH,VV"
S1D_IW_GRDH_1SDV_20260713T102431_20260713T102501_003654_006858_rtc,2026-07-13T10:24:46.459994+00:00,2026-07-13,S1D,ascending,113,3654,IW,"VH,VV"
S1D_IW_GRDH_1SDV_20260718T103244_20260718T103314_003727_006AE0_rtc,2026-07-18T10:32:59.622233+00:00,2026-07-18,S1D,ascending,11,3727,IW,"VH,VV"
S1D_IW_GRDH_1SDV_20260725T102432_20260725T102501_003829_006E57_rtc,2026-07-25T10:24:47.331730+00:00,2026-07-25,S1D,ascending,113,3829,IW,"VH,VV"
S1D_IW_GRDH_1SDV_20260730T103245_20260730T103314_003902_0070E3_rtc,2026-07-30T10:33:00.158449+00:00,2026-07-30,S1D,ascending,11,3902,IW,"VH,VV"
S1D_IW_GRDH_1SDV_20260806T102449_20260806T102518_004004_00746C_rtc,2026-08-06T10:25:04.226797+00:00,2026-08-06,S1D,ascending,113,4004,IW,"VH,VV"
S1D_IW_GRDH_1SDV_20260811T103246_20260811T103315_004077_0076F2_rtc,2026-08-11T10:33:00.744261+00:00,2026-08-11,S1D,ascending,11,4077,IW,"VH,VV"
S1D_IW_GRDH_1SDV_20260818T102450_20260818T102519_004179_007A71_rtc,2026-08-18T10:25:04.711718+00:00,2026-08-18,S1D,ascending,113,4179,IW,"VH,VV"
S1D_IW_GRDH_1SDV_20260823T103246_20260823T103327_004252_007D11_rtc,2026-08-23T10:33:07.029275+00:00,2026-08-23,S1D,ascending,11,4252,IW,"VH,VV"
S1D_IW_GRDH_1SDV_20260830T102450_20260830T102520_004354_0080A0_rtc,2026-08-30T10:25:05.440591+00:00,2026-08-30,S1D,ascending,113,4354,IW,"VH,VV"
